Brand,Model,Year,Created On,Modified On
Lexus,LS 460 AWD,2016,2015-10-28,2016-09-26
Lexus,LS 460,2014,2013-01-01,2016-09-26
Lexus,IS 300,2003,2013-01-01,2013-01-01
Lexus,SC 300/SC 400,1997,2013-01-01,2013-01-01
Lexus,RX 350 L,2022,2021-07-26,2022-01-04
Lexus,RX 350 AWD,2013,2013-01-01,2016-09-26
Lexus,RX 300 4WD,1999,2013-01-01,2013-01-01
Lexus,GS 300,1997,2013-01-01,2013-01-01
Lexus,NX 200t,2015,2014-11-20,2016-09-26
Lexus,RX 350 L AWD,2022,2021-07-26,2022-01-04
Lexus,NX 350 AWD,2024,2023-04-11,2024-05-29
Lexus,LS 500,2020,2019-10-02,2020-02-05
Lexus,SC,2000,2013-01-01,2013-01-01
Lexus,IS 300,2001,2013-01-01,2013-01-01
Lexus,NX 350 AWD,2023,2022-11-07,2023-06-01
Lexus,NX 300 AWD F Sport,2018,2017-10-04,2017-11-28
Lexus,RX 350 L,2019,2018-09-11,2018-12-18
Lexus,RC 350 AWD,2021,2020-10-05,2021-08-10
Lexus,GX 460,2013,2013-01-01,2016-09-26
Lexus,LS 500h AWD,2019,2018-10-17,2019-08-20
Lexus,RC 350,2021,2020-10-05,2021-08-10
Lexus,GS 350,2018,2017-10-04,2017-12-20
Lexus,NX 300h AWD,2016,2015-10-19,2017-04-05
Lexus,IS 250 AWD,2011,2013-01-01,2016-09-26
Lexus,IS 250/IS 250C,2010,2013-01-01,2013-01-01
Lexus,NX 250 AWD,2024,2023-04-11,2024-05-29
Lexus,IS 350 C,2014,2013-01-01,2016-09-26
Lexus,LS 500,2024,2023-11-06,2024-05-29
Lexus,GS 200t F Sport,2016,2015-12-02,2016-09-26
Lexus,LS 400,1991,2013-01-01,2013-01-01
Lexus,LC 500,2022,2021-10-26,2022-10-13
Lexus,GS 450h,2017,2016-09-26,2017-04-05
Lexus,UX 250h AWD,2021,2020-10-26,2021-08-03
Lexus,GS 300/GS 430,2001,2013-01-01,2013-01-01
Lexus,RX 350 L AWD,2020,2019-08-29,2019-12-10
Lexus,LS 460 AWD,2010,2013-01-01,2013-01-01
Lexus,LX 570,2013,2013-01-01,2016-09-26
Lexus,IS 250 AWD,2013,2013-01-01,2016-09-26
Lexus,GS 350,2014,2013-10-29,2016-09-26
Lexus,IS 250,2007,2013-01-01,2013-01-01
Lexus,LS 600h L,2015,2014-11-20,2017-04-05
Lexus,GX 460,2016,2015-08-26,2016-09-26
Lexus,RC 350 AWD,2017,2016-09-26,2016-11-22
Lexus,RX 350 4WD,2009,2013-01-01,2013-01-01
Lexus,RX 450h AWD,2021,2020-09-10,2021-04-26
Lexus,GS 350 F Sport,2016,2015-12-02,2016-09-26
Lexus,LS 600h L,2014,2013-01-01,2017-04-05
Lexus,RC 350,2019,2018-11-02,2018-12-18
Lexus,RX 400h 4WD,2006,2013-01-01,2020-06-02
Lexus,RX 350 2WD,2007,2013-01-01,2013-01-01
Lexus,GX 460,2014,2013-01-01,2016-09-26
Lexus,LX 570,2020,2019-08-29,2019-12-10
Lexus,ES 300h,2017,2016-09-01,2017-04-05
Lexus,IS 350,2023,2022-10-03,2023-06-01
Lexus,RX 350 2WD,2009,2013-01-01,2013-01-01
Lexus,LS 430,2002,2013-01-01,2013-01-01
Lexus,LS 500h,2020,2019-10-02,2020-02-05
Lexus,CT 200h,2015,2014-09-04,2016-09-26
Lexus,NX 300h AWD,2017,2016-10-05,2017-04-05
Lexus,LS 430,2001,2013-01-01,2013-01-01
Lexus,IS 300 AWD,2017,2016-10-26,2016-11-22
Lexus,ES 350,2024,2023-07-31,2023-09-19
